,Request #,Date / Time Opened,Contact Type,Preferred Language,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
3736,373468,05/21/2020 01:07:15 AM,,,False,333 Commerce St,NASHVILLE,19.0,37201.0,36.16254431160667,-86.77678099325409,"(36.16254431160667, -86.77678099325409)"
3737,367098,05/13/2020 09:43:34 PM,,,False,3715 Nolensville Pike,NASHVILLE,26.0,37211.0,36.0946917,-86.73741369999998,"(36.0946917, -86.73741369999999)"
3738,367180,05/14/2020 01:52:20 AM,,,False,127 Franklin Rd,,,,36.0356636,-86.78886299999998,"(36.0356636, -86.78886299999999)"
3739,372125,05/19/2020 07:38:07 PM,,,False,5215 Old Hickory Blvd,HERMITAGE,14.0,37076.0,36.1888499616179,-86.61538210674591,"(36.1888499616179, -86.61538210674591)"
3740,371838,05/19/2020 05:05:34 PM,,,False,2201 Murphy Ave,NASHVILLE,21.0,37203.0,36.1541,-86.80611,"(36.1541, -86.80611)"
3741,363933,05/11/2020 02:57:06 PM,,,False,100 W Trinity Ln,NASHVILLE,5.0,37207.0,36.205586100000005,-86.7691521,"(36.2055861, -86.7691521)"
3742,363988,05/11/2020 03:17:25 PM,,,False,897 Elm Hill Pike,NASHVILLE,19.0,37210.0,36.1440475,-86.74201060000001,"(36.1440475, -86.74201060000001)"
3743,372113,05/19/2020 07:33:16 PM,,,False,3021 Lealand Ln,NASHVILLE,17.0,37204.0,36.1181343,-86.7883402,"(36.1181343, -86.7883402)"
3744,364184,05/11/2020 04:43:15 PM,,,False,5225 Old Hickory Blvd,HERMITAGE,14.0,37076.0,36.188,-86.61504000000001,"(36.188, -86.61504)"
3745,364389,05/11/2020 06:31:13 PM,,,False,212 White Bridge Pike,NASHVILLE,24.0,37209.0,36.13844,-86.85665999999999,"(36.13844, -86.85666)"
3746,372765,05/20/2020 03:25:03 PM,,,False,1831 12th Ave S,NASHVILLE,18.0,37203.0,36.13473289999999,-86.78933099999998,"(36.13473289999999, -86.78933099999999)"
3747,376204,05/26/2020 02:57:51 PM,,,False,3910 Gallatin Pike,NASHVILLE,7.0,37216.0,36.21654,-86.72855,"(36.21654, -86.72855)"
3748,376380,05/26/2020 04:14:36 PM,,,False,7619 Hwy 70 S,NASHVILLE,22.0,37221.0,36.07682296157027,-86.94855909999998,"(36.07682296157027, -86.9485591)"
3749,363747,05/11/2020 01:31:59 PM,,,False,3870 Dickerson Pike,NASHVILLE,3.0,37207.0,36.268190000000004,-86.75676,"(36.26819, -86.75676)"
3750,364315,05/11/2020 05:52:31 PM,,,False,3041 Owen Dr,ANTIOCH,33.0,37013.0,36.01880500000001,-86.62402379999997,"(36.01880500000001, -86.62402379999999)"
3751,363904,05/11/2020 02:47:32 PM,,,False,519 W Trinity Ln,NASHVILLE,2.0,37207.0,36.207231476256155,-86.79050174532259,"(36.20723147625616, -86.7905017453226)"
3752,363442,05/09/2020 06:57:02 PM,,,False,2286 Lebanon Pike,NASHVILLE,15.0,37214.0,36.16889541160939,-86.68392480000004,"(36.16889541160939, -86.68392480000003)"
3753,364132,05/11/2020 04:18:12 PM,,,False,6412 Nolensville Pike,ANTIOCH,31.0,37013.0,36.011762,-86.70229379999998,"(36.011762, -86.70229379999999)"
3754,363912,05/11/2020 02:51:07 PM,,,False,2350 Gallatin Pike N,MADISON,10.0,37115.0,36.31031721166964,-86.6813942067459,"(36.31031721166964, -86.6813942067459)"
3755,375460,05/23/2020 06:09:55 PM,,,False,3041 Owen Dr,ANTIOCH,33.0,37013.0,36.01899456154583,-86.62400770674591,"(36.018994561545824, -86.6240077067459)"
3756,372145,05/19/2020 07:47:47 PM,,,False,3035 Hamilton Church Rd,ANTIOCH,32.0,37013.0,36.060970000000005,-86.62913,"(36.06097, -86.62913)"
3757,442565,08/11/2020 05:30:47 PM,,,False,431 Ocala Dr,NASHVILLE,27.0,37211.0,36.05039389999999,-86.717862,"(36.05039389999999, -86.717862)"
3758,373341,05/20/2020 09:45:25 PM,,,False,2804 West End Ave,NASHVILLE,21.0,37203.0,36.14525,-86.81289,"(36.14525, -86.81289)"
3759,363729,05/11/2020 01:22:16 PM,,,False,421 Ocala Dr,NASHVILLE,27.0,37211.0,36.04961400000001,-86.71676099999998,"(36.04961400000001, -86.71676099999999)"
3760,375473,05/23/2020 07:39:50 PM,,,False,1187 TN-254,BRENTWOOD,34.0,37027.0,36.03947584701701,-86.81513331045072,"(36.03947584701701, -86.81513331045072)"
3761,372817,05/20/2020 03:58:03 PM,,,False,5814 Nolensville Pike,NASHVILLE,27.0,37211.0,36.0436225,-86.71235870000001,"(36.0436225, -86.7123587)"
3762,363959,05/11/2020 03:05:35 PM,,,False,15538 Old Hickory Blvd,NASHVILLE,27.0,37211.0,36.04085,-86.74029,"(36.04085, -86.74029)"
3763,366443,05/13/2020 02:45:53 PM,,,False,2224 Whites Creek Pike,NASHVILLE,2.0,37207.0,36.20828,-86.79392,"(36.20828, -86.79392)"
3764,417596,07/15/2020 11:15:18 PM,,,False,1243 Dickerson Rd,GOODLETTSVILLE,3.0,37072.0,36.291305598745815,-86.73674499591408,"(36.29130559874581, -86.73674499591408)"
3765,450496,08/23/2020 10:06:33 PM,,,False,2131 Abbott Martin Rd,NASHVILLE,25.0,37215.0,36.105680299999996,-86.81846379999998,"(36.1056803, -86.81846379999999)"
3766,376752,05/26/2020 07:45:15 PM,,,False,210 Anne Dallas Dudley Blvd,NASHVILLE,19.0,37219.0,36.163000000000004,-86.78200000000001,"(36.163, -86.782)"
3767,365153,05/12/2020 04:11:14 PM,,,False,1516 Demonbreun St,NASHVILLE,19.0,37203.0,36.1532885,-86.79005620000001,"(36.1532885, -86.7900562)"
3768,365821,05/12/2020 06:07:13 PM,,,False,Hwy 70 S & Old Hickory Blvd EB,NASHVILLE,34.0,37221.0,36.074666,-86.91989000000001,"(36.074666, -86.91989)"
3769,366728,05/13/2020 05:25:57 PM,,,False,4504 Harding Pike,NASHVILLE,24.0,37205.0,36.1255015,-86.848564,"(36.1255015, -86.848564)"
3770,367019,05/13/2020 09:00:14 PM,,,False,2647 Murfreesboro Pike,NASHVILLE,32.0,37217.0,36.07314731156871,-86.63744770674592,"(36.07314731156871, -86.6374477067459)"
3771,398300,06/23/2020 11:38:52 AM,,,False,114 N Church St,,,,35.8464299,-86.39100169999998,"(35.8464299, -86.39100169999999)"
3772,366532,05/13/2020 03:23:20 PM,,,False,907 Rivergate Pkwy,GOODLETTSVILLE,10.0,37072.0,36.299007200000005,-86.7016343,"(36.2990072, -86.7016343)"
3773,442899,08/11/2020 09:48:44 PM,,,False,211 N 1st St,NASHVILLE,5.0,37213.0,36.1747153,-86.77356850000001,"(36.1747153, -86.7735685)"
3774,430228,07/29/2020 12:19:36 PM,,,False,201 Gallatin Pike S,MADISON,9.0,37115.0,36.26120096164869,-86.71181444999998,"(36.26120096164869, -86.71181444999999)"
